Kategori,Item, Harga ,Isi/Kemasan,Keterangan
Bahan Utama,Dimsum," Rp640,000 ",30 pcs,Bahan utama
Chili Oil,Minyak," Rp22,600 ",1 liter,Cukup ±40 cup chili oil
,Cabe kering," Rp20,000 ",2 ons,Cukup ±40 cup chili oil
,Bawang putih," Rp5,000 ",-,Cukup ±40 cup chili oil
,Rebon," Rp10,000 ",-,Cukup ±40 cup chili oil
,Garam," Rp2,200 ",-,Cukup >100 pack
,Micin," Rp3,000 ",-,Cukup >100 pack
,Royco," Rp3,200 ",-,Cukup >100 pack
Bahan Kukus & Bakar,Saos saset," Rp16,000 ",48 pcs,Untuk kukus & bakar
Bahan Bakar,Saos," Rp28,000 ",1 liter,Cukup >60 pack
,Kecap," Rp25,000 ",1 liter,Cukup >60 pack
,Mentega," Rp8,000 ",200 gram,Cukup >60 pack
Packaging Frozen,Thinwall 500 ml," Rp28,000 ",25 pcs,Untuk frozen
,Cup sambal 35 ml," Rp12,000 ",50 pcs,Untuk chili oil
Packaging Kukus & Bakar,Box kertas," Rp28,000 ",50 pcs,Untuk kukus & bakar
,Plastik clip," Rp5,000 ",50 pcs,Untuk kukus & bakar
Packaging Umum,Kresek," Rp11,000 ",100 pcs,Semua produk
,Sticker," Rp27,000 ",40 pcs (2 lembar),Semua produk
,Sumpit," Rp7,000 ",50 pcs,Kukus & bakar
,," Rp901,000 ",,
