No,Menu,Stok (pcs),Stock Kukus & bakar,Stock Frozen,Sisa,
1,Hisitkau,8,2 Porsi,4 Porsi,0 pcs,
2,Lumpia Ayam,20,5 Porsi,10 Porsi,0 pcs,
3,Lumpia Udang,0,0 Porsi,0 Porsi,0 pcs,
4,Siomay Ayam,6,1 Porsi,3 Porsi,2 pcs,
5,Siomay Kepiting,10,2 Porsi,5 Porsi,2 pcs,
6,Siomay Moza,6,1 Porsi,3 Porsi,2 pcs,
7,Siomay Nori,18,4 Porsi,9 Porsi,2 pcs,
8,Siomay Seafood,6,1 Porsi,3 Porsi,2 pcs,
9,Siomay Udang,8,2 Porsi,4 Porsi,0 pcs,
,,82,,,,
,,,,,,
Hitungan kasar,,,,,,
No,Menu,Stok (pcs),Stock Kukus & bakar,Stock Frozen,Sisa,
1,Hisitkau,0,0 Porsi,0 Porsi,0 pcs,Habis
2,Lumpia Ayam,8,2 Porsi,4 Porsi,0 pcs,
3,Lumpia Udang,0,0 Porsi,0 Porsi,0 pcs,Habis
4,Siomay Ayam,0,0 Porsi,0 Porsi,0 pcs,
5,Siomay Kepiting,4,1 Porsi,2 Porsi,0 pcs,
6,Siomay Moza,0,0 Porsi,0 Porsi,0 pcs,Habis
7,Siomay Nori,0,0 Porsi,0 Porsi,0 pcs,
8,Siomay Seafood,2,0 Porsi,1 Porsi,2 pcs,Habis
9,Siomay Udang,4,1 Porsi,2 Porsi,0 pcs,
,,,,,,
,Budi,Halu,Lkt udang abis,1,,
,,When ya,?,2,,
,,Solulu,?,1,,
,Andika,When ya,?,1,,
,,Siomay nori,?,1,,
,,Siomay mozarela,?,1,,
,Widia,Solulu,Siomay ayam kurang 2,1,,
,,,Siomay moza abis,,,
,Ema,Lkt ayam,?,1,,
,Mita,Siomay mozarela,Siomay moza abis,1,,
